Model,train_acc,train_auc,train_f1,val_acc,val_auc,val_f1
LogReg,0.8138686131386861,0.9030101530101531,0.8282828282828283,0.8260869565217391,0.9191066066066066,0.8421052631578947
RF,0.9914841849148418,0.9998450831784166,0.992108229988726,0.8309178743961353,0.9241741741741742,0.8401826484018264
SVC,0.9136253041362531,0.9587742504409171,0.9188571428571428,0.8067632850241546,0.9176051051051051,0.8165137614678899
Symbolic,0.805352798053528,0.890855140855141,0.81859410430839,0.8357487922705314,0.9236111111111112,0.8508771929824561
