fold,n_train,n_val,best_expr,selected_equation_index,selected_complexity,selected_loss,selected_score,train_rmse,train_r2,train_mae,train_pearson_r,train_spearman_r,train_kendall_tau,train_top_k_accuracy_true,val_rmse,val_r2,val_mae,val_pearson_r,val_spearman_r,val_kendall_tau,val_top_k_accuracy_true
1,411,206,-inter_model_rmsd + (alphafold_distance_score + alphafold_iptm)*(2*alphafold_interface_sasa + hydrophobic_aa_percent - turn_fraction) + 5.045237,7,15,1.4764391,0.0019010991492315545,1.2150881542771526,0.335671437512027,0.9454347065113848,0.5852848457524957,0.5909081697513354,0.41489707473280096,0.4,1.40275218672307,0.1368550772978887,1.098688590676007,0.3832977430066753,0.366259170625266,0.25128621908264503,0.3
2,411,206,2.8112178*alphafold_interface_sasa + alphafold_peptide_plddt*(alphafold_ipsae_max*(hydrophobic_aa_percent + uHrel)**2 + instability_index - 2.3717175*turn_fraction) - alphafold_rosetta_score + 5.526815,12,25,1.59652,0.007284110789149286,1.2635347995412614,0.2834677502109406,1.006775961354102,0.5324711956170652,0.5282446661844399,0.3675505295843657,0.2,1.2754494179556952,0.29119651021445603,0.9636270512262335,0.5544914726652312,0.5792727689189142,0.4082205493133573,0.2
3,412,205,alphafold_distance_score + alphafold_interface_sasa + hydrophobic_aa_percent + (alphafold_interface_peptide_plddt + instability_index)*(alphafold_interface_sasa + alphafold_iptm - 1.2756848*turn_fraction) + 3.9317794,10,23,1.6920192,0.0010917027170674162,1.3007764955064505,0.2675186960072057,1.0134286699524566,0.5173266460698354,0.5226977004128128,0.3637989063397477,0.2,1.218231329930691,0.3089482627580695,0.9810532162092589,0.5594717203426962,0.5671963833984465,0.39431375921760625,0.3
