fold,equation,complexity,loss,score,equation_index,train_rmse,train_r2,train_mae,train_pearson_r,train_spearman_r,train_kendall_tau,train_top_k_accuracy_true,val_rmse,val_r2,val_mae,val_pearson_r,val_spearman_r,val_kendall_tau,val_top_k_accuracy_true
3,alphafold_distance_score + alphafold_interface_sasa - 0.38992336*alphafold_peptide_plddt + hydrophobic_aa_percent + (alphafold_interface_peptide_plddt + instability_index)*(alphafold_interface_sasa + alphafold_iptm + 0.5327638*polar_aa_percent - turn_fraction) + 3.9452093,29,1.678945,3.371050987771314e-05,13,1.2957413082675735,0.2731784572682878,1.0098350266807874,0.5256171688778954,0.5363999375127425,0.37427525538310635,0.2,1.2281231465919822,0.29768027207140124,0.9952219021743627,0.5509890845379315,0.5583971016038838,0.38665532252486323,0.2
3,alphafold_distance_score + alphafold_interface_sasa + hydrophobic_aa_percent + (alphafold_interface_peptide_plddt + instability_index)*(alphafold_distance_score*polar_aa_percent**2 + alphafold_interface_sasa + alphafold_iptm - turn_fraction) + 3.7502904,27,1.6790582,0.002422240408614768,12,1.2957847928275246,0.27312967276928135,1.0122961957754173,0.5231904396867315,0.5266015085757857,0.3672043109949253,0.2,1.2279669798154114,0.2978588731099153,0.9926878044029734,0.5472496171243917,0.552356562502709,0.3838791392237439,0.2
3,alphafold_distance_score + alphafold_interface_sasa + hydrophobic_aa_percent + 0.41354817*polar_aa_percent + (alphafold_interface_peptide_plddt + instability_index)*(alphafold_interface_sasa + alphafold_iptm - turn_fraction) + 3.6934888,25,1.6872121,0.0014225434176691274,11,1.2989273959999734,0.26959971167267427,1.0127628689856325,0.5202842253552891,0.5262814891377978,0.366778635413028,0.2,1.2287953993406424,0.29691118700306707,0.9947692042695763,0.5479534851174443,0.5589765698999956,0.38895285353268616,0.2
3,alphafold_distance_score + alphafold_interface_sasa + hydrophobic_aa_percent + (alphafold_interface_peptide_plddt + instability_index)*(alphafold_interface_sasa + alphafold_iptm - 1.2756848*turn_fraction) + 3.9317794,23,1.6920192,0.0010917027170674162,10,1.3007764955064505,0.2675186960072057,1.0134286699524566,0.5173266460698354,0.5226977004128128,0.3637989063397477,0.2,1.218231329930691,0.3089482627580695,0.9810532162092589,0.5594717203426962,0.5671963833984465,0.39431375921760625,0.3
3,alphafold_distance_score + alphafold_interface_sasa + hydrophobic_aa_percent + (alphafold_interface_peptide_plddt + instability_index)*(alphafold_interface_sasa + alphafold_iptm - turn_fraction) + 3.8447552,21,1.6957176,0.003540004810739524,9,1.3021973093862438,0.2659176707945037,1.0141379649973588,0.5160465847298144,0.5188554938467503,0.3602043125370603,0.2,1.227675590615509,0.29819206133045106,0.9917418268989894,0.5490973609141958,0.559229390803227,0.38914431445000475,0.3
3,alphafold_distance_score + 2*alphafold_interface_sasa + (alphafold_interface_peptide_plddt + 0.281428)*(alphafold_iptm + hydrophobic_aa_percent - turn_fraction) + 3.8665872,17,1.7198998,0.003046199562972617,8,1.3114496649075518,0.25544902702615335,1.0238135655825404,0.5055826224090488,0.5050206159824427,0.35098134159595445,0.2,1.2375594698364865,0.2868462175408173,0.9935989665354775,0.5369479573189803,0.547628184783595,0.38033711225335026,0.2
3,alphafold_distance_score + 2*alphafold_interface_sasa + alphafold_iptm**2 + hydrophobic_aa_percent - turn_fraction + 3.9903302,15,1.7304101,0.005154710316199863,7,1.315450675079136,0.250899099963952,1.0273615208018267,0.5011464567221698,0.5009695817187763,0.34868742318239737,0.2,1.233507357792947,0.29150869741859564,0.9964151285962375,0.5433173906648066,0.5623781602343824,0.3917290368338055,0.3
3,alphafold_distance_score + 2*alphafold_interface_sasa + alphafold_iptm + hydrophobic_aa_percent - turn_fraction + 3.8551147,13,1.7483419,0.007431759789637577,6,1.3222489535464699,0.24313635227363672,1.0291502796262937,0.4943195288414324,0.49687693634856184,0.3451164780231487,0.2,1.2323414508299269,0.29284739159823236,0.9970602730424938,0.5483361422324818,0.5685336179279351,0.3965155597667699,0.3
3,alphafold_distance_score + 2*alphafold_interface_sasa + alphafold_iptm - turn_fraction + 4.332261,11,1.7745225,0.013593738293165243,5,1.3321121307785069,0.23180274861414973,1.0373063030077903,0.48876787747135275,0.49277931480478077,0.34327188383492757,0.2,1.2491502661334197,0.27342507766703095,1.016409571481078,0.5379598499225997,0.5546577202555375,0.3839748696824032,0.3
3,2.30237*alphafold_interface_sasa + alphafold_iptm - turn_fraction + 4.7948403,9,1.8234291,0.018457572852023395,4,1.3503442025060313,0.21063084714061464,1.0519684379425176,0.4603272961453868,0.4691659126977827,0.3247313473789609,0.2,1.2533940190520563,0.26847988864673744,1.0023305007777858,0.5294160776423014,0.5471657245088134,0.38139014729860243,0.2
