metric,mean,std,min,max
selected_complexity,21.0,5.291502622129181,15.0,25.0
selected_loss,1.5883261,0.10802337652985125,1.4764391,1.6920192
selected_score,0.003425637551816085,0.003365953421916652,0.0010917027170674162,0.007284110789149286
train_rmse,1.2597998164416215,0.04296609744581297,1.2150881542771526,1.3007764955064505
train_r2,0.29555262791005776,0.03564733153277693,0.2675186960072057,0.335671437512027
train_mae,0.9885464459393146,0.03748374568129411,0.9454347065113848,1.0134286699524566
train_pearson_r,0.5450275624797988,0.03567668689243368,0.5173266460698354,0.5852848457524957
train_spearman_r,0.5472835121161961,0.0378817274243829,0.5226977004128128,0.5909081697513354
train_kendall_tau,0.38208217021897145,0.02848038163247116,0.3637989063397477,0.41489707473280096
train_top_k_accuracy_true,0.26666666666666666,0.11547005383792516,0.2,0.4
val_rmse,1.298810978203152,0.09445267873779473,1.218231329930691,1.40275218672307
val_r2,0.24566661675680476,0.09465064457866547,0.1368550772978887,0.3089482627580695
val_mae,1.0144562860371664,0.07346583331782021,0.9636270512262335,1.098688590676007
val_pearson_r,0.49908697867153423,0.10030733292547164,0.3832977430066753,0.5594717203426962
val_spearman_r,0.5042427743142088,0.11964976363140123,0.366259170625266,0.5792727689189142
val_kendall_tau,0.3512735092045362,0.08687026730781507,0.25128621908264503,0.4082205493133573
val_top_k_accuracy_true,0.26666666666666666,0.05773502691896256,0.2,0.3
