fold,equation,complexity,loss,score,train_acc,train_f1,train_auc,val_acc,val_f1,val_auc,equation_index
1,-0.22626142*delta_net_charge_frac - 0.33079842*hydrophobic_aa_percent - (alphafold_interface_dG + inter_model_rmsd - 1.7945727)*(0.32136756*alphafold_ipsae_max - 0.32136756*alphafold_peptide_pae - delta_net_charge_frac*negatively_charged_aa_percent + 0.60052556),25,0.121324025,0.0016820918299040853,0.8309305373525557,0.8381430363864492,0.9113719309887194,0.8534031413612565,0.8613861386138614,0.9289221094439541,11
1,(1.05269352165038*inter_model_rmsd - 1.9819777)*(-0.2999554*alphafold_ipsae_max + 0.2999554*alphafold_peptide_pae + 0.19105163*hydrophobic_aa_percent + negatively_charged_aa_percent*positively_charged_aa_percent - 0.42648026),21,0.12214309,0.00012504260416072548,0.8322411533420708,0.8387909319899244,0.9092222406547223,0.8507853403141361,0.858560794044665,0.9233781994704325,10
1,(inter_model_rmsd - 1.9819777)*(-0.2999554*alphafold_ipsae_max + 0.2999554*alphafold_peptide_pae + 0.19105163*hydrophobic_aa_percent + negatively_charged_aa_percent*positively_charged_aa_percent - 0.42648026),19,0.12217364,0.005468836413791398,0.8322411533420708,0.8387909319899244,0.9090978212784782,0.8481675392670157,0.8564356435643564,0.923433362753751,9
1,0.598574915389902*alphafold_ipsae_max - 0.598574915389902*alphafold_peptide_pae - 0.355519835236104*hydrophobic_aa_percent - 1.7358099*negatively_charged_aa_percent*positively_charged_aa_percent + 0.80296066407744,17,0.12351727,0.005100146555865042,0.8283093053735255,0.8372670807453416,0.9071762331342624,0.8455497382198953,0.854320987654321,0.9211440864960283,8
1,0.59545755*alphafold_ipsae_max - 0.59545755*alphafold_peptide_pae - 0.34008592*hydrophobic_aa_percent - negatively_charged_aa_percent*positively_charged_aa_percent + 0.7732142,15,0.12478363,0.009546721040529607,0.8243774574049804,0.8337468982630273,0.9045357774828577,0.8534031413612565,0.8613861386138614,0.9231575463371581,7
1,0.605493130559335*alphafold_ipsae_max - 0.605493130559335*alphafold_peptide_pae - delta_net_charge_frac*(negatively_charged_aa_percent + 0.11482698) + 0.6950456,13,0.12718907,0.0012138420878213595,0.8296199213630406,0.8375,0.8978586042910861,0.856020942408377,0.8628428927680798,0.9150485436893204,6
1,0.604597187728273*alphafold_ipsae_max - 0.604597187728273*alphafold_peptide_pae - delta_net_charge_frac*negatively_charged_aa_percent + 0.6420767,11,0.12749822,0.007093233277049222,0.8322411533420708,0.84,0.8979139017916391,0.8507853403141361,0.8592592592592593,0.9150485436893204,5
1,alphafold_peptide_plddt*(alphafold_peptide_pae*(alphafold_ipsae_max - helix_fraction) + 1),9,0.12931986,0.007039913835846384,0.8269986893840104,0.8362282878411911,0.891160694536607,0.8586387434554974,0.8663366336633663,0.9100838481906444,4
1,alphafold_peptide_plddt + negatively_charged_aa_percent*(alphafold_ipsae_max - delta_net_charge_frac),7,0.13115354,0.006006503724879509,0.8217562254259502,0.8320987654320988,0.895024607387746,0.8638743455497382,0.8712871287128713,0.9136694616063549,3
1,0.59446424*alphafold_interface_peptide_plddt + 0.59446424*alphafold_ipsae_max,5,0.13273859,0.00788763167221679,0.817824377457405,0.8238276299112801,0.8904556514045565,0.837696335078534,0.845,0.9093943071491615,2
1,1.03454843460925*alphafold_peptide_plddt,3,0.13484918,0.0016598030950340074,0.8217562254259502,0.8349514563106796,0.8856516810440168,0.8507853403141361,0.8619854721549637,0.9048709179170343,1
1,alphafold_peptide_plddt,1,0.13529757,0.0,0.817824377457405,0.8290282902829028,0.8856516810440168,0.8481675392670157,0.8585365853658536,0.9048709179170343,0
