fold,equation,complexity,loss,score,train_acc,train_f1,train_auc,val_acc,val_f1,val_auc,equation_index
3,-1.12303915958937*alphafold_peptide_pae*alphafold_peptide_plddt*(alphafold_distance_score - alphafold_ipsae_max + inter_model_rmsd + intra_alphafold_mean_rmsd) - alphafold_peptide_pae*(alphafold_peptide_plddt + helix_fraction)*(sheet_fraction - turn_fraction) + 0.848312190062249*alphafold_peptide_plddt + 0.223533485667725,29,0.12036459,0.001053808596497518,0.831151832460733,0.8385481852315394,0.9087806156222418,0.8451443569553806,0.8571428571428571,0.9166574279379157,13
3,-alphafold_peptide_pae*alphafold_peptide_plddt*(alphafold_distance_score - alphafold_ipsae_max + inter_model_rmsd + intra_alphafold_mean_rmsd) - alphafold_peptide_pae*(alphafold_peptide_plddt + helix_fraction)*(sheet_fraction - turn_fraction) + 0.8962646*alphafold_peptide_plddt + 0.179836056636698,27,0.12061854,0.002429830376348616,0.8298429319371727,0.8366834170854272,0.9086978706972639,0.847769028871391,0.8592233009708737,0.9179323725055432,12
3,-alphafold_peptide_pae*alphafold_peptide_plddt*(alphafold_distance_score - alphafold_ipsae_max + inter_model_rmsd + intra_alphafold_mean_rmsd) - (alphafold_peptide_plddt + 0.22478871)*(alphafold_peptide_pae*(sheet_fraction - turn_fraction) - 0.86787313),23,0.121796586,0.004896136579125456,0.8324607329842932,0.8403990024937655,0.9070153905560459,0.8530183727034121,0.8640776699029126,0.9172394678492239,11
3,-alphafold_peptide_pae*alphafold_peptide_plddt*(alphafold_distance_score - alphafold_ipsae_max + inter_model_rmsd + intra_alphafold_mean_rmsd) + alphafold_peptide_plddt - helix_fraction*(sheet_fraction - turn_fraction) + 0.1485153,21,0.12299511,0.006789974879410117,0.831151832460733,0.8373266078184111,0.9073325794351279,0.8398950131233596,0.851581508515815,0.9161862527716185,10
3,-alphafold_peptide_pae*(alphafold_distance_score + alphafold_ipsae_max)*(sheet_fraction - turn_fraction) + alphafold_peptide_pae*(alphafold_ipsae_max - alphafold_peptide_plddt) + alphafold_peptide_plddt + 0.12237122,19,0.12467677,0.005508785127416213,0.8272251308900523,0.837037037037037,0.903243601059135,0.84251968503937,0.8557692307692307,0.9149667405764966,9
3,-alphafold_distance_score*alphafold_peptide_pae*(sheet_fraction - turn_fraction) + alphafold_peptide_pae*(alphafold_ipsae_max - alphafold_peptide_plddt) + alphafold_peptide_plddt + 0.12237122,17,0.126058,0.004900426051051646,0.819371727748691,0.8308823529411765,0.9016369704324803,0.8451443569553806,0.8578313253012049,0.9161585365853658,8
3,alphafold_peptide_pae*(alphafold_ipsae_min - (alphafold_peptide_plddt + helix_fraction)*(sheet_fraction - turn_fraction)) + alphafold_peptide_plddt + 0.010463716,15,0.12729955,0.0004298638170936744,0.8180628272251309,0.8315151515151515,0.8997890004413062,0.84251968503937,0.8578199052132701,0.9179046563192905,7
3,alphafold_peptide_pae*(alphafold_ipsae_min - (alphafold_peptide_plddt + helix_fraction)*(sheet_fraction - turn_fraction)) + alphafold_peptide_plddt,13,0.12740904,0.0047807338489386335,0.8206806282722513,0.833130328867235,0.8997890004413062,0.8451443569553806,0.8598574821852731,0.9179046563192905,6
3,0.28911264960492*alphafold_ipsae_max + 0.8744748*alphafold_peptide_plddt - 0.28911264960492*sheet_fraction + 0.28911264960492*turn_fraction,11,0.1286331,0.0067591980535196125,0.8232984293193717,0.8331273176761433,0.8983823367166812,0.847769028871391,0.8599033816425121,0.9170731707317074,5
3,0.53086245*alphafold_ipsae_max + 0.53086245*alphafold_peptide_plddt - 0.53086245*sheet_fraction + 0.299263688813068,9,0.13038382,0.0073578646922280245,0.8232984293193717,0.8310387984981227,0.8958655119152693,0.8451443569553806,0.8585131894484412,0.9114190687361418,4
3,alphafold_peptide_plddt - 0.2879867*inter_model_rmsd + 0.2879867*turn_fraction,7,0.1323167,0.005925896899675667,0.8089005235602095,0.8245192307692307,0.8929763349514563,0.8530183727034121,0.8666666666666667,0.9198170731707317,3
3,0.61179036*alphafold_interface_peptide_plddt + 0.61179036*alphafold_ipsae_max,5,0.13389422,0.01136278203132761,0.8154450261780105,0.8226415094339623,0.8886460172109444,0.8451443569553806,0.8521303258145363,0.9133314855875833,2
3,1.0473461*alphafold_peptide_plddt,3,0.13697188,0.00299897779271711,0.8180628272251309,0.8315151515151515,0.880006067961165,0.8503937007874016,0.8626506024096385,0.9162139689578713,1
3,alphafold_peptide_plddt,1,0.1377959,0.0,0.8141361256544503,0.8251231527093597,0.880006067961165,0.8556430446194225,0.8655256723716381,0.9162139689578713,0
