metric,mean,std,min,max
selected_complexity,17.666666666666668,9.451631252505216,7.0,25.0
selected_loss,0.11920775500000001,0.014285135797782083,0.10398254,0.1323167
selected_score,0.006440993871823964,0.005036245582559374,0.0016820918299040853,0.01171499288589214
train_acc,0.8362564873204192,0.030371219774972275,0.8089005235602095,0.8689384010484927
train_f1,0.8460947192343146,0.026463038453324372,0.8245192307692307,0.8756218905472637
train_auc,0.9116177107067415,0.018765472810355805,0.8929763349514563,0.9305048661800488
val_acc,0.8358228781611722,0.0301173041065203,0.8010471204188482,0.8534031413612565
val_f1,0.8440588388735781,0.034685469615663614,0.8041237113402062,0.8666666666666667
val_auc,0.9056513662554985,0.03273898698278055,0.8682149161518093,0.9289221094439541
