equation,complexity,loss,score,train_rmse,train_r2,val_rmse,val_r2,val_mae,equation_index
1.44319511853683*boltz_chain_1_ptm*boltz_peptide_plddt*(alphafold_iptm + boltz_distance_score + intra_boltz_mean_rmsd)*(boltz_interface_sasa - turn_fraction + (alphafold_iptm + intra_boltz_mean_rmsd)*(hydrophobic_aa_percent + intra_boltz_mean_rmsd)) + boltz_chain_1_ptm + 1.44319511853683*boltz_interface_sasa + 4.14258291516755,29,1.590262,0.00312101240237459,1.2610559530525274,0.3280258119558176,1.2382093764092312,0.25083524077450625,0.9896311664622821,14
1.51808385512659*boltz_chain_1_ptm*boltz_peptide_plddt*(alphafold_iptm + boltz_distance_score)*(boltz_interface_sasa - turn_fraction + (alphafold_iptm + intra_boltz_mean_rmsd)*(hydrophobic_aa_percent + intra_boltz_mean_rmsd)) + boltz_chain_1_ptm + 1.51808385512659*boltz_interface_sasa + 4.12975433122228,27,1.6002195,0.00564659160726751,1.2649979245178278,0.32381815850502205,1.233467341191432,0.25656248370521584,0.9881985968799134,13
1.38143251097807*boltz_chain_1_ptm + 1.38143251097807*boltz_interface_sasa + 1.38143251097807*boltz_peptide_plddt*(alphafold_iptm + boltz_distance_score)*(boltz_interface_sasa - turn_fraction + (alphafold_iptm + intra_boltz_mean_rmsd)*(hydrophobic_aa_percent + intra_boltz_mean_rmsd)) + 3.82578312545652,25,1.6183935,0.006045844197451634,1.2721609962156717,0.3161386955949239,1.2388567781364979,0.250051629596893,0.9890334373624473,12
1.39463828521971*alphafold_iptm*(boltz_distance_score + boltz_peptide_plddt)*(boltz_interface_sasa + boltz_peptide_plddt*hydrophobic_aa_percent + intra_boltz_mean_rmsd - turn_fraction) + 1.39463828521971*boltz_chain_1_ptm + 1.39463828521971*boltz_interface_sasa + 3.80184728208707,23,1.6380814,0.003837516806138275,1.2798755810045472,0.3078194618048532,1.2438936606391888,0.24394102685703078,0.9844380064611553,11
1.67113930389962*alphafold_iptm*boltz_chain_1_ptm*(boltz_chain_1_ptm + boltz_distance_score)*(boltz_peptide_plddt*(boltz_interface_sasa + hydrophobic_aa_percent) + intra_boltz_mean_rmsd) + 1.67113930389962*boltz_interface_sasa + 4.46809624612647,21,1.6507021,0.0037952115198119094,1.2847966460560407,0.30248642166163076,1.238715981038161,0.2502220844163552,1.0084251899279717,10
1.70442810079701*alphafold_interface_sasa + 1.70442810079701*alphafold_iptm*(boltz_interface_sasa + boltz_peptide_plddt*(hydrophobic_aa_percent + intra_boltz_mean_rmsd) - turn_fraction) + 1.70442810079701*boltz_chain_1_ptm + 3.45652274918935,19,1.6632793,0.009283858990305012,1.2896819382591806,0.2971719058115163,1.2625030078306367,0.22114967393213547,0.9954514830060737,9
1.70442810079701*alphafold_interface_sasa + 1.70442810079701*alphafold_iptm*(boltz_interface_sasa + boltz_peptide_plddt*hydrophobic_aa_percent - turn_fraction) + 1.70442810079701*boltz_chain_1_ptm + 3.45652274918935,17,1.6944511,0.0015130368826843032,1.301710827035379,0.2840001815938754,1.2643855216366942,0.21882526028274707,0.996613661672633,8
1.66290158033852*alphafold_iptm*(alphafold_interface_sasa + hydrophobic_aa_percent - turn_fraction) + 1.66290158033852*boltz_chain_1_ptm + 1.66290158033852*boltz_interface_sasa + 3.46610599168383,15,1.6995864,0.0125379202192903,1.3036819032191556,0.2818301778387833,1.24897489803393,0.2377514917760304,0.9876265973135511,7
alphafold_interface_sasa + 2.42454336150329*boltz_chain_1_ptm + 2.42454336150329*boltz_interface_sasa + hydrophobic_aa_percent - turn_fraction + 2.79411456646255,13,1.7427438,0.006371674468899366,1.3201303093923502,0.2635937215970878,1.274400405662216,0.20640126808820658,1.010306401204784,6
3.16261935725454*boltz_chain_1_ptm + 3.16261935725454*boltz_interface_sasa + hydrophobic_aa_percent - turn_fraction + 2.30739521609546,11,1.7650943,0.009403707255099638,1.328568558580932,0.25414944255885286,1.2642398475774865,0.21900525339066956,0.999800898315907,5
3.47340486833816*boltz_chain_1_ptm + 3.47340486833816*boltz_interface_sasa + helix_fraction + 1.73539087649079,9,1.7986053,0.0062002317853994265,1.3411209459014852,0.2399891911687384,1.296468631203036,0.17867850390813012,1.0311169257474047,4
3.20907783939207*alphafold_interface_sasa + 3.20907783939207*boltz_chain_1_ptm + 2.1819558,7,1.8210477,0.03530563855441172,1.3494619345250332,0.23050614682638593,1.2904805782553905,0.18624792554148129,1.0483148364464416,3
5.29750384267685*boltz_chain_1_ptm + 5.29750384267685*boltz_interface_sasa,5,1.9542828,0.04853418371808794,1.3979567506713337,0.17420671102515228,1.3844933525704226,0.06336385585379134,1.1350187776590464,2
alphafold_interface_sasa + 5.68199,3,2.153494,0.04717118094975355,1.4674789289719175,0.09002884470260575,1.3685433101846936,0.0848205593386735,1.1187698911192407,1
6.02765800000000,1,2.3665519,0.0,1.5383602921302626,-1.8437087412337405e-09,1.4305813668542682,-3.290757629637042e-05,1.1783884312969877,0
