Model,best_alpha,train_kendall_tau,train_mae,train_pearson_r,train_r2,train_rmse,train_spearman_r,train_top_k_accuracy_true,val_kendall_tau,val_mae,val_pearson_r,val_r2,val_rmse,val_spearman_r,val_top_k_accuracy_true
Lasso,0.013219411484660314,0.36698943062287415,1.01939178342771,0.5377128250715358,0.28124494429258584,1.3042129774791742,0.5273712348725312,0.3,0.388820694258799,0.9879814965183875,0.5089243701293437,0.2582383680116551,1.2320762929931417,0.5573600743466782,0.3
RF,,0.8313479745548878,0.4222183610055079,0.9573137896634382,0.8610504098575917,0.5734382999180291,0.9591210275677889,0.8,0.427506058443064,0.9627797070596076,0.5944756950548004,0.35247635366531327,1.151153490700751,0.6023723705792716,0.6
SVR,,0.4798826315218139,0.8745939570713086,0.6567742306749211,0.40904299542998235,1.1825949044496333,0.659999682664404,0.2,0.4143923756687369,0.9533544985951468,0.5745370503724683,0.3275766920157567,1.1730777509180828,0.5917763382757611,0.4
Symbolic,,0.3691678927502297,0.9958646206065785,0.5690502500137551,0.32381815850502205,1.2649979245178278,0.5288595327526845,0.4,0.368494485958592,0.9881985968799134,0.5151678979293379,0.25656248370521584,1.233467341191432,0.5245277307743519,0.4
