Model,best_alpha,train_kendall_tau,train_mae,train_pearson_r,train_r2,train_rmse,train_spearman_r,train_top_k_accuracy_true,val_kendall_tau,val_mae,val_pearson_r,val_r2,val_rmse,val_spearman_r,val_top_k_accuracy_true
Lasso,0.019179102616724886,0.33119750146501375,1.0611744475375169,0.48800142906494987,0.2289471666226338,1.350828235213458,0.48115098604525386,0.2,0.3698058542360247,1.0160119756167854,0.4831485675424326,0.23159893137666698,1.2540053765165118,0.5319997982745084,0.2
RF,,0.7954542481013567,0.4923668258994073,0.9432811932452375,0.8224870287422721,0.6481463918961345,0.9423496907125253,0.5,0.41504805980745324,0.9706647424966646,0.5651442536487167,0.3187095915937339,1.1807869801965538,0.5796139359795579,0.4
SVR,,0.3892219599973813,0.9524254669897134,0.5708641411657994,0.32293928336395705,1.2658197553738733,0.551054783438327,0.3,0.4104582708364387,0.9574432679052168,0.5716343881774004,0.32578984756100826,1.174635338816167,0.5859320670425208,0.3
Symbolic,,0.35943607128409927,1.0107949863561159,0.5332533543584977,0.2842313542444339,1.3015006703931529,0.5146166090986354,0.3,0.3799689583861282,0.9775851479154193,0.5344071542526216,0.28100470613017803,1.2130213430300414,0.5410733364954854,0.3
