Model,best_alpha,train_kendall_tau,train_mae,train_pearson_r,train_r2,train_rmse,train_spearman_r,train_top_k_accuracy_true,val_kendall_tau,val_mae,val_pearson_r,val_r2,val_rmse,val_spearman_r,val_top_k_accuracy_true
Lasso,0.0029836472402833404,0.4354835066196114,0.9843577629638539,0.6493637600313424,0.41908415602963045,1.2260931512657565,0.6152763063713732,0.5,0.2598387944556412,1.2008958105458403,0.37817034978040354,0.014508100267216162,1.440835707165693,0.3735282760579662,0.3
RF,,0.8561617756879635,0.37648988923085874,0.9707158742432359,0.9060631158707881,0.4930431518629593,0.9704859537788137,0.9,0.2911270030072141,1.1064388848169073,0.43830980859637825,0.12476389783108799,1.3578460865668145,0.41485003072612775,0.3
SVR,,0.720064513952454,0.5202622394395492,0.8743032313425847,0.7436436148811381,0.8144959425900152,0.8763049834128736,0.8,0.3185041854898405,1.1474041504371668,0.4776783990282782,0.09281521915685043,1.382406640039354,0.4618257545240628,0.3
Symbolic,,0.43076924783638,0.9911479268585217,0.6458537832028369,0.4144352562567294,1.2309894075895564,0.6058396525761571,0.5,0.29650466385201574,1.1518295364975548,0.4684346048311691,0.08875087687809913,1.3854998879023517,0.4319313881674858,0.4
