,mean,std,min,max
alphafold_iptm,0.6107420924574211,0.25549371212411187,0.04,0.97
alphafold_rosetta_score,-243.62073294829202,318.9017665035627,-1060.764822343542,845.3802464233613
alphafold_interface_sasa,1474.1111130040028,553.4441816174714,362.57260441419953,3488.036515245935
alphafold_interface_dG,-24.762030951254385,54.01996113574383,-117.40023504752531,479.1262842605074
alphafold_interface_delta_hbond_unsat,7.648418491484185,6.1312673762862016,0.0,52.0
alphafold_packstat,0.6345466484265786,0.07065256008224173,0.390702665001084,0.8482659598980555
alphafold_distance_score,6.434188756087367,0.43465967261887317,4.999346410838236,7.485459451880537
alphafold_n_contacts,19.969586374695865,9.863516830336089,0.0,61.0
alphafold_peptide_plddt,61.579661346963874,23.328988980527235,20.74714285714285,97.47178571428572
alphafold_interface_peptide_plddt,53.798260863563975,23.462222828654664,10.758444444444446,96.59636363636363
alphafold_peptide_pae,13.520433760167943,6.656732799315744,2.836494208494212,28.20415378115763
alphafold_ipsae_max,0.33981619406846914,0.3100021827869506,0.0,0.9255348977278042
alphafold_ipsae_min,0.13571983493046358,0.13589590383365208,0.0,0.589980423877372
intra_alphafold_mean_rmsd,7.010895266326035,6.9998233072793985,0.12398894,40.52876
intra_boltz_mean_rmsd,5.869061480648746,7.1491446794090034,0.11674486,40.30653381347656
inter_model_rmsd,9.416839096628488,9.900774348814897,0.23027131,67.89544677734375
length,17.37956204379562,9.070140585143658,7.0,45.0
molecular_weight,1976.5522902676396,1019.0196089092007,602.6412,5182.856900000001
aromaticity,0.07463793841310502,0.07377338329310772,0.0,0.4285714285714285
instability_index,51.28040001713156,40.08773647436826,-27.24444444444444,231.58
isoelectric_point,7.475719520587411,2.786264982450548,4.0500284194946286,11.999967765808105
gravy,-0.6216633156731435,0.784771713354656,-3.7125,1.6166666666666671
hydrophobic_aa_percent,0.35625223540114775,0.12863098985739427,0.0,0.7142857142857142
polar_aa_percent,0.21675217428503588,0.12567158699459674,0.0,0.6363636363636364
positively_charged_aa_percent,0.17133238470074955,0.12076656034010118,0.0,0.75
negatively_charged_aa_percent,0.12506251785389697,0.11930642099294696,0.0,0.6842105263157894
delta_net_charge_frac,0.04626986684685262,0.1994491238338637,-0.6842105263157894,0.75
uHrel,0.2674487497927817,0.15304496070274315,0.0112942117197308,0.7665685012926436
