Model,train_acc,train_auc,train_f1,val_acc,val_auc,val_f1
LogReg,0.8321167883211679,0.9031769865103197,0.8431818181818181,0.855072463768116,0.9233295795795796,0.8636363636363636
RF,0.9902676399026764,0.9997735831069164,0.9910112359550561,0.855072463768116,0.9338400900900901,0.8598130841121495
SVC,0.8394160583941606,0.9141641641641641,0.8472222222222222,0.8647342995169082,0.9296171171171171,0.8691588785046729
Symbolic,0.8260340632603407,0.9104223270889937,0.8319623971797885,0.855072463768116,0.9359046546546547,0.8571428571428571
