equation,complexity,loss,score,train_rmse,train_r2,val_rmse,val_r2,val_mae,equation_index
1.31450257566264*boltz_complex_iplddt*(boltz_chain_1_ptm + hydrophobic_aa_percent)*(boltz_chain_1_ptm + 8.9952965*boltz_complex_iplddt**2*intra_boltz_mean_rmsd**3 + boltz_interface_sasa) + 2.31450257566264*boltz_interface_sasa + 3.6478286,29,1.5831865,0.003727794888596383,1.2582474091022828,0.33101563557617286,1.3018085243327857,0.17189885500946545,1.0470384427377377,14
1.31495758998781*boltz_complex_iplddt*(boltz_chain_1_ptm + hydrophobic_aa_percent)*(boltz_chain_1_ptm + 6.644284*boltz_complex_iplddt*intra_boltz_mean_rmsd**3 + boltz_interface_sasa) + 2.31495758998781*boltz_interface_sasa + 3.6530402,27,1.5950342,0.004341380429997338,1.262946679668154,0.32600929248733646,1.3007362170307324,0.17326251667139236,1.0458539552749029,13
1.33288239256228*boltz_complex_iplddt*(boltz_chain_1_ptm + hydrophobic_aa_percent)*(boltz_chain_1_ptm + boltz_interface_sasa + 6.412067*boltz_peptide_plddt*intra_boltz_mean_rmsd**2) + 2.33288239256228*boltz_interface_sasa + 3.58675572880183,25,1.6089438,0.009094057187027514,1.2684414685989518,0.32013177899113976,1.3122766091753735,0.15852747830103964,1.052285645747097,12
1.40405334756856*boltz_complex_iplddt*(boltz_chain_1_ptm + hydrophobic_aa_percent)*(boltz_chain_1_ptm + boltz_interface_sasa + 3.1609716*intra_boltz_mean_rmsd**2) + 2*boltz_interface_sasa + 3.5849228,23,1.6384752,0.006099810033807777,1.2800294049784107,0.3076530700696385,1.3038753245885717,0.16926731855412624,1.0508790115534563,11
boltz_peptide_pae - (boltz_complex_iplddt*(boltz_chain_1_ptm + boltz_interface_sasa) + intra_boltz_mean_rmsd)*(-1.4205136662648*boltz_chain_1_ptm - 1.4205136662648*boltz_interface_sasa - 1.4205136662648*hydrophobic_aa_percent + inter_model_rmsd) + 3.5262697,21,1.6585864,0.0035307925370067113,1.2878612533491465,0.29915491452307974,1.329331693175453,0.13651284545897024,1.079769024718428,10
1.47667539529493*boltz_complex_iplddt*(boltz_chain_1_ptm + boltz_interface_sasa)*(boltz_chain_1_ptm + boltz_interface_sasa + hydrophobic_aa_percent) + boltz_peptide_pae + 1.47667539529493*intra_boltz_mean_rmsd + 3.3858848,19,1.6703401,0.007921488840930545,1.2924163546182676,0.2941884384433602,1.3469290796180295,0.11350024152608373,1.0936942614738432,9
(boltz_complex_iplddt*(boltz_chain_1_ptm + boltz_interface_sasa) + intra_boltz_mean_rmsd)*(boltz_chain_1_ptm + 1.5669881969748*boltz_interface_sasa + 1.5669881969748*hydrophobic_aa_percent) + 3.8730586,17,1.697014,0.007172555567158593,1.302695008899154,0.28291708324079323,1.3392950560075658,0.12352063807739411,1.0739477957210042,8
hydrophobic_aa_percent + intra_boltz_mean_rmsd + (2.2654576*boltz_chain_1_ptm + boltz_interface_sasa)*(boltz_complex_iplddt + boltz_interface_sasa) + 2.9741726,15,1.7215333,0.004395092311247084,1.3120722745479685,0.2725562868383674,1.293191648176109,0.18282523765051395,1.0411409713686184,7
intra_boltz_mean_rmsd + (boltz_interface_sasa + 1.4703001)*(boltz_chain_1_ptm + boltz_complex_iplddt + hydrophobic_aa_percent + 1.2483283),13,1.7367326,0.006784803354673439,1.3178516130582159,0.2661337709011897,1.298221677192305,0.1764558696586993,1.0248613298287443,6
(boltz_interface_sasa + 1.3638911)*(boltz_chain_1_ptm + boltz_complex_iplddt + hydrophobic_aa_percent + 1.5244746),11,1.76046,0.008760884422730125,1.326823375547149,0.2561076265326103,1.2978411572568873,0.17693857463635942,1.0270685078476567,5
(boltz_chain_1_ptm + boltz_interface_sasa)*(hydrophobic_aa_percent + 2.9058897) + 2.207537,9,1.7915782,0.01271386577824278,1.3384985674308885,0.24295847955996264,1.2891045180594192,0.1879824341308376,1.0329943950070362,4
3.6229935*boltz_chain_1_ptm + 3.6229935*boltz_interface_sasa + 1.9464061589595,7,1.8377181,0.030749342070364935,1.355624656033445,0.22346185090199433,1.2983942038115501,0.17623696601820038,1.0521086697955888,3
5.297691*boltz_chain_1_ptm + 5.297691*boltz_interface_sasa,5,1.9542829,0.057896458114675316,1.3979567340123378,0.17420673070657233,1.3845169468118042,0.06333193167367768,1.1350401427584926,2
boltz_n_contacts + 5.7043552,3,2.1941972,0.037808880968333416,1.481282388779868,0.07282951769538237,1.3714210943017575,0.08096761890154791,1.1188964887267547,1
6.02757900000000,1,2.3665519,0.0,1.5383602907665852,-7.081135677822203e-11,1.4305809158584426,-3.227704858743685e-05,1.1783905664321228,0
