Model,best_alpha,train_kendall_tau,train_mae,train_pearson_r,train_r2,train_rmse,train_spearman_r,train_top_k_accuracy_true,val_kendall_tau,val_mae,val_pearson_r,val_r2,val_rmse,val_spearman_r,val_top_k_accuracy_true
Lasso,0.00628029144183426,0.36291753879604133,1.0139037231695367,0.5496490725018446,0.29724975103074847,1.2896105137144303,0.5251749483918429,0.4,0.35144669835196674,1.0011014335308273,0.48476952395421097,0.2296876956220526,1.2555639450420681,0.5082760936512866,0.3
RF,,0.8210868071512694,0.46491391478606725,0.9581776439567913,0.8602070252229419,0.5751759710998651,0.9556848013304697,0.8,0.3452176990341614,1.0002412570768664,0.526952984326592,0.2753068590793948,1.2178182943881064,0.5010190181109114,0.6
SVR,,0.3999310355019516,0.9378109109170218,0.5929020671029162,0.3455218788240554,1.244530738057871,0.5653823668446671,0.3,0.38357522114906817,0.9928842412906,0.5350553973754784,0.28028703676391986,1.2136265842176883,0.5552496430680082,0.4
Symbolic,,0.31702731790763555,1.043515878344747,0.4929186050217989,0.2429584793906353,1.3384985675805794,0.4621283167327109,0.3,0.30292607208695643,1.0329919698114083,0.44797187923884524,0.18798468499772114,1.2891027313956807,0.44398472249462506,0.3
