uniprot	fullName	uniProtkbId
P15391	B-lymphocyte antigen CD19	CD19_HUMAN
P15509	Granulocyte-macrophage colony-stimulating factor receptor subunit alpha	CSF2R_HUMAN
P15692	Vascular endothelial growth factor A, long form	VEGFA_HUMAN
P15924	Desmoplakin	DESP_HUMAN
P15941	Mucin-1	MUC1_HUMAN
P16050	Polyunsaturated fatty acid lipoxygenase ALOX15	LOX15_HUMAN
P16070	CD44 antigen	CD44_HUMAN
P16284	Platelet endothelial cell adhesion molecule	PECA1_HUMAN
P16671	Platelet glycoprotein 4	CD36_HUMAN
P16871	Interleukin-7 receptor subunit alpha	IL7RA_HUMAN
P17181	Interferon alpha/beta receptor 1	INAR1_HUMAN
P17612	cAMP-dependent protein kinase catalytic subunit alpha	KAPCA_HUMAN
P17706	Tyrosine-protein phosphatase non-receptor type 2	PTN2_HUMAN
P18206	Vinculin	VINC_HUMAN
P18827	Syndecan-1	SDC1_HUMAN
P19256	Lymphocyte function-associated antigen 3	LFA3_HUMAN
P19320	Vascular cell adhesion protein 1	VCAM1_HUMAN
P19397	Leukocyte surface antigen CD53	CD53_HUMAN
P19438	Tumor necrosis factor receptor superfamily member 1A	TNR1A_HUMAN
P19801	Diamine oxidase [copper-containing]	AOC1_HUMAN
P20023	Complement receptor type 2	CR2_HUMAN
P20138	Myeloid cell surface antigen CD33	CD33_HUMAN
P20333	Tumor necrosis factor receptor superfamily member 1B	TNR1B_HUMAN
P20336	Ras-related protein Rab-3A	RAB3A_HUMAN
P20701	Integrin alpha-L	ITAL_HUMAN
P21453	Sphingosine 1-phosphate receptor 1	S1PR1_HUMAN
P21462	fMet-Leu-Phe receptor	FPR1_HUMAN
P21730	C5a anaphylatoxin chemotactic receptor 1	C5AR1_HUMAN
P22626	Heterogeneous nuclear ribonucleoproteins A2/B1	ROA2_HUMAN
P22681	E3 ubiquitin-protein ligase CBL	CBL_HUMAN
P22732	Solute carrier family 2, facilitated glucose transporter member 5	GTR5_HUMAN
P22894	Neutrophil collagenase	MMP8_HUMAN
P23471	Receptor-type tyrosine-protein phosphatase zeta	PTPRZ_HUMAN
P24158	Myeloblastin	PRTN3_HUMAN
P24394	Interleukin-4 receptor subunit alpha	IL4RA_HUMAN
P25024	C-X-C chemokine receptor type 1	CXCR1_HUMAN
P25025	C-X-C chemokine receptor type 2	CXCR2_HUMAN
P25090	N-formyl peptide receptor 2	FPR2_HUMAN
P25105	Platelet-activating factor receptor	PTAFR_HUMAN
P26038	Moesin	MOES_HUMAN
P26842	CD27 antigen	CD27_HUMAN
P26992	Ciliary neurotrophic factor receptor subunit alpha	CNTFR_HUMAN
P27105	Stomatin	STOM_HUMAN
P27930	Interleukin-1 receptor type 2	IL1R2_HUMAN
P28908	Tumor necrosis factor receptor superfamily member 8	TNR8_HUMAN
P29074	Tyrosine-protein phosphatase non-receptor type 4	PTN4_HUMAN
P29466	Caspase-1	CASP1_HUMAN
P29965	CD40 ligand	CD40L_HUMAN
P30153	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform	2AAA_HUMAN
P30926	Neuronal acetylcholine receptor subunit beta-4	ACHB4_HUMAN
P31749	RAC-alpha serine/threonine-protein kinase	AKT1_HUMAN
P31785	Cytokine receptor common subunit gamma	IL2RG_HUMAN
P31997	Cell adhesion molecule CEACAM8	CEAM8_HUMAN
P32246	C-C chemokine receptor type 1	CCR1_HUMAN
P32455	Guanylate-binding protein 1	GBP1_HUMAN
P32970	CD70 antigen	CD70_HUMAN
P33681	T-lymphocyte activation antigen CD80	CD80_HUMAN
P34810	Macrosialin	CD68_HUMAN
P35247	Pulmonary surfactant-associated protein D	SFTPD_HUMAN
P35372	Mu-type opioid receptor	OPRM_HUMAN
P36222	Chitinase-3-like protein 1	CH3L1_HUMAN
P38484	Interferon gamma receptor 2	INGR2_HUMAN
P40189	Interleukin-6 receptor subunit beta	IL6RB_HUMAN
P40199	Cell adhesion molecule CEACAM6	CEAM6_HUMAN
P41143	Delta-type opioid receptor	OPRD_HUMAN
P41597	C-C chemokine receptor type 2	CCR2_HUMAN
P42081	T-lymphocyte activation antigen CD86	CD86_HUMAN
P42680	Tyrosine-protein kinase Tec	TEC_HUMAN
P42702	Leukemia inhibitory factor receptor	LIFR_HUMAN
P43235	Cathepsin K	CATK_HUMAN
P43353	Aldehyde dehydrogenase family 3 member B1	AL3B1_HUMAN
