uniprot	reactome	url	rxn_name	x	species	fullName	uniProtkbId
O95256	R-HSA-449147	https://reactome.org/PathwayBrowser/#/R-HSA-449147	Signaling by Interleukins	TAS	Homo sapiens	Interleukin-18 receptor accessory protein	I18RA_HUMAN
O95497	R-HSA-6798695	https://reactome.org/PathwayBrowser/#/R-HSA-6798695	Neutrophil degranulation	TAS	Homo sapiens	Pantetheinase	VNN1_HUMAN
O95711	R-HSA-168898	https://reactome.org/PathwayBrowser/#/R-HSA-168898	Toll-like Receptor Cascades	TAS	Homo sapiens	Lymphocyte antigen 86	LY86_HUMAN
O95716	R-HSA-6798695	https://reactome.org/PathwayBrowser/#/R-HSA-6798695	Neutrophil degranulation	TAS	Homo sapiens	Ras-related protein Rab-3D	RAB3D_HUMAN
P00734	R-HSA-166658	https://reactome.org/PathwayBrowser/#/R-HSA-166658	Complement cascade	TAS	Homo sapiens	Prothrombin	THRB_HUMAN
P01009	R-HSA-6798695	https://reactome.org/PathwayBrowser/#/R-HSA-6798695	Neutrophil degranulation	TAS	Homo sapiens	Alpha-1-antitrypsin	A1AT_HUMAN
P01111	R-HSA-6798695	https://reactome.org/PathwayBrowser/#/R-HSA-6798695	Neutrophil degranulation	TAS	Homo sapiens	GTPase NRas	RASN_HUMAN
P01137	R-HSA-449147	https://reactome.org/PathwayBrowser/#/R-HSA-449147	Signaling by Interleukins	TAS	Homo sapiens	Transforming growth factor beta-1 proprotein	TGFB1_HUMAN
P01375	R-HSA-449147	https://reactome.org/PathwayBrowser/#/R-HSA-449147	Signaling by Interleukins	TAS	Homo sapiens	Tumor necrosis factor	TNFA_HUMAN
P01375	R-HSA-5668541	https://reactome.org/PathwayBrowser/#/R-HSA-5668541	TNFR2 non-canonical NF-kB pathway	TAS	Homo sapiens	Tumor necrosis factor	TNFA_HUMAN
P01584	R-HSA-449147	https://reactome.org/PathwayBrowser/#/R-HSA-449147	Signaling by Interleukins	TAS	Homo sapiens	Interleukin-1 beta	IL1B_HUMAN
P01730	R-HSA-449147	https://reactome.org/PathwayBrowser/#/R-HSA-449147	Signaling by Interleukins	TAS	Homo sapiens	T-cell surface glycoprotein CD4	CD4_HUMAN
P02748	R-HSA-166658	https://reactome.org/PathwayBrowser/#/R-HSA-166658	Complement cascade	TAS	Homo sapiens	Complement component C9	CO9_HUMAN
P02751	R-HSA-449147	https://reactome.org/PathwayBrowser/#/R-HSA-449147	Signaling by Interleukins	TAS	Homo sapiens	Fibronectin	FINC_HUMAN
P03956	R-HSA-449147	https://reactome.org/PathwayBrowser/#/R-HSA-449147	Signaling by Interleukins	TAS	Homo sapiens	Interstitial collagenase	MMP1_HUMAN
P04004	R-HSA-166658	https://reactome.org/PathwayBrowser/#/R-HSA-166658	Complement cascade	TAS	Homo sapiens	Vitronectin	VTNC_HUMAN
P04049	R-HSA-913531	https://reactome.org/PathwayBrowser/#/R-HSA-913531	Interferon Signaling	TAS	Homo sapiens	RAF proto-oncogene serine/threonine-protein kinase	RAF1_HUMAN
P04083	R-HSA-449147	https://reactome.org/PathwayBrowser/#/R-HSA-449147	Signaling by Interleukins	TAS	Homo sapiens	Annexin A1	ANXA1_HUMAN
P04264	R-HSA-6798695	https://reactome.org/PathwayBrowser/#/R-HSA-6798695	Neutrophil degranulation	TAS	Homo sapiens	Keratin, type II cytoskeletal 1	K2C1_HUMAN
P04839	R-HSA-6798695	https://reactome.org/PathwayBrowser/#/R-HSA-6798695	Neutrophil degranulation	TAS	Homo sapiens	Cytochrome b-245 heavy chain	CY24B_HUMAN
P05067	R-HSA-168898	https://reactome.org/PathwayBrowser/#/R-HSA-168898	Toll-like Receptor Cascades	TAS	Homo sapiens	Amyloid-beta precursor protein	A4_HUMAN
P05067	R-HSA-449147	https://reactome.org/PathwayBrowser/#/R-HSA-449147	Signaling by Interleukins	TAS	Homo sapiens	Amyloid-beta precursor protein	A4_HUMAN
