,mean,std,min,max
rosetta_score,-402.5016889128419,299.44380845990145,-1021.077541270006,451.3142280816484
interface_sasa,1874.4804781777777,599.1352772430789,878.1994916912782,3365.638382188977
interface_dG,-51.176025740943246,22.337718875124295,-98.70550256759547,17.115022472542762
interface_delta_hbond_unsat,7.569060773480663,5.844459266087217,0.0,31.0
packstat,0.6164459919923131,0.07345689907592388,0.3892980347951357,0.7864431287000033
distance_score,6.538233966638967,0.375998339776321,5.528944453683353,7.361734707761549
iptm,0.7506629834254144,0.2020495049622596,0.14,0.95
peptide_pae,11.148461107244207,5.636048183623451,3.430482456140357,27.28310997997342
length,20.91160220994475,8.116713085205774,7.0,40.0
molecular_weight,2387.582762430939,914.8695800331635,780.8788,4876.502100000001
aromaticity,0.06437350219711069,0.060845953860261794,0.0,0.2857142857142857
instability_index,53.68318633515054,37.518210707355756,-12.405,237.25
isoelectric_point,7.549702058444367,2.6297483414223484,4.0500284194946286,11.999967765808105
gravy,-0.5975157745112528,0.6548182051379605,-2.925,1.0428571428571427
helix_fraction,0.34512642589308035,0.15017983436806678,0.0,0.75
turn_fraction,0.25271447595052626,0.12072247617457618,0.0,0.6
sheet_fraction,0.32128779356321685,0.10158748291245961,0.0,0.6666666666666667
hydrophobic_aa_percent,36.46973263633806,11.663984391914667,0.0,64.28571428571429
polar_aa_percent,22.084462501882108,11.624088143797426,0.0,50.0
positively_charged_aa_percent,18.512183201563175,12.047567995490132,0.0,62.5
negatively_charged_aa_percent,12.413596624596716,9.970053199819612,0.0,55.55555555555556
delta_net_charge_frac,6.098586576966455,18.71370615368245,-55.55555555555556,62.5
uHrel,0.29667265103843027,0.16311569024226236,0.0082559425320829,0.7312630548576715
