Feature,Importance
interface_dG,0.14767762352834185
peptide_pae,0.1043076463216856
distance_score,0.09536360804202275
rosetta_score,0.07676365382399254
iptm,0.051963909638492047
packstat,0.04535660382122033
interface_sasa,0.04197728412335303
helix_fraction,0.03761076893151472
polar_aa_percent,0.03708740227073834
uHrel,0.03651120112867885
negatively_charged_aa_percent,0.03351690765065247
instability_index,0.033332753981959964
turn_fraction,0.02856041473134926
molecular_weight,0.028211490848236587
hydrophobic_aa_percent,0.027496923896574148
interface_delta_hbond_unsat,0.026721877805389656
positively_charged_aa_percent,0.024810978323047465
gravy,0.023526907271502688
sheet_fraction,0.021891920110192125
aromaticity,0.020496829213341162
delta_net_charge_frac,0.019984005781741324
isoelectric_point,0.019705289596605037
length,0.01712399915936808
