,mean,std,min,max
rosetta_score,-334.87560859461564,342.9286326732236,-1173.063800684672,978.0546574193132
interface_sasa,1790.659464371257,594.3771248887335,475.6799930399235,3445.353999696224
interface_dG,-37.143648775968146,24.871442397380367,-98.70550256759547,17.115022472542762
interface_delta_hbond_unsat,9.018666666666666,7.030656577255667,0.0,36.0
packstat,0.6173211503513083,0.07034672229042936,0.3892980347951357,0.7890380895275835
distance_score,6.519706980173945,0.3698171148008854,5.528944453683353,7.594192259132253
iptm,0.5914666666666667,0.24368874978877983,0.14,0.95
peptide_pae,15.795670837496468,6.669225644593244,3.430482456140357,28.19067316394025
length,22.168,9.256363037634813,7.0,45.0
molecular_weight,2511.197423466667,1028.3065361124266,676.7163999999999,5077.869600000001
aromaticity,0.0655252190167409,0.058636470612553206,0.0,0.2857142857142857
instability_index,49.23189370566702,35.38814503989044,-15.685714285714289,253.0
isoelectric_point,7.479812435404461,2.5761445131002816,4.0500284194946286,11.999967765808105
gravy,-0.5101610899976432,0.7058489100769367,-2.925,1.99
helix_fraction,0.3392957347514772,0.13786438172748958,0.0,0.888888888888889
turn_fraction,0.2607336365674651,0.11306036863854708,0.0,0.6
sheet_fraction,0.3267726757571873,0.10546282858335738,0.0,0.7
hydrophobic_aa_percent,37.27066622464449,11.555909685919994,0.0,70.0
polar_aa_percent,21.930130083369534,11.13699145514357,0.0,57.142857142857146
positively_charged_aa_percent,17.801718808280082,11.415889927021384,0.0,62.5
negatively_charged_aa_percent,11.956146105457915,9.0410026219744,0.0,55.55555555555556
delta_net_charge_frac,5.8455727028221665,17.072221556563335,-55.55555555555556,62.5
uHrel,0.26443535749137004,0.15294942089359756,0.0082559425320829,0.7312630548576715
