Feature,Importance
alphafold_ipsae_min,0.10979431250692649
alphafold_peptide_plddt,0.10822398371441527
alphafold_interface_peptide_plddt,0.08211722222775333
alphafold_ipsae_max,0.0784729019727686
alphafold_peptide_pae,0.06389467799055223
boltz_peptide_plddt,0.049287858652324684
boltz_complex_iplddt,0.04881737730097123
alphafold_iptm,0.04465458603109477
boltz_ipsae_min,0.02049542228863773
boltz_interface_peptide_plddt,0.02016444718408388
alphafold_interface_dG,0.018980315242561076
inter_model_rmsd,0.015513368826471401
intra_boltz_mean_rmsd,0.015183811986702062
boltz_interface_dG,0.015148444555570196
boltz_confidence_score,0.014725525574615154
boltz_ipsae_max,0.014472632288546328
boltz_complex_ipde,0.013369354664921498
intra_alphafold_mean_rmsd,0.012061157994869023
intra_all_mean_rmsd,0.011924244329290437
boltz_iptm,0.011767464220099336
boltz_protein_iptm,0.01127321793318602
turn_fraction,0.010606242832461326
hydrophobic_aa_percent,0.010529704310892939
alphafold_distance_score,0.009517275060226264
helix_fraction,0.008858121613885255
delta_net_charge_frac,0.008692781200846553
gravy,0.0085456913969582
boltz_chain_1_ptm,0.008332093654229211
alphafold_rosetta_score,0.008129055305650904
alphafold_packstat,0.007917914578613633
boltz_chain_0_ptm,0.007789794596328835
boltz_peptide_pde,0.00755552178936478
boltz_distance_score,0.007498774981003553
isoelectric_point,0.007462615580111023
negatively_charged_aa_percent,0.007190260319944891
boltz_packstat,0.0067045671459018625
alphafold_n_contacts,0.006689769113460509
molecular_weight,0.006301098368549539
positively_charged_aa_percent,0.006287716492709592
boltz_n_contacts,0.006048615978174975
boltz_complex_plddt,0.00573593048243927
boltz_peptide_pae,0.005660165527535774
alphafold_interface_sasa,0.005634178548657242
instability_index,0.005571310797138542
boltz_rosetta_score,0.005417186008999925
boltz_complex_pde,0.005326493452982396
uHrel,0.0052756264301013845
boltz_interface_sasa,0.005040319624938434
polar_aa_percent,0.005017245918727941
sheet_fraction,0.004776265000126877
boltz_interface_delta_hbond_unsat,0.004202459375291705
alphafold_interface_delta_hbond_unsat,0.004188806175823649
aromaticity,0.0041543083151398125
length,0.0029997625364223293
boltz_ligand_iptm,0.0
