Model,train_acc,train_auc,train_f1,val_acc,val_auc,val_f1
LogReg,0.8798767967145791,0.9504072184110034,0.8729641693811075,0.8244897959183674,0.8929620726495726,0.8071748878923767
RF,0.9825462012320328,0.999290324760907,0.9816612729234089,0.8448979591836735,0.9140625,0.8288288288288288
SVC,0.8880903490759754,0.9498369436653037,0.8792912513842747,0.8244897959183674,0.8977029914529915,0.8071748878923767
Symbolic,0.8737166324435318,0.9449030110506571,0.8652792990142387,0.8204081632653061,0.8962339743589742,0.8035714285714286
