equation,complexity,loss,score,train_acc,train_f1,train_auc,val_acc,val_f1,val_auc,equation_index
(2.239855*alphafold_interface_peptide_plddt*(boltz_chain_0_ptm*(alphafold_peptide_pae + boltz_chain_0_ptm - turn_fraction) - hydrophobic_aa_percent) - 2.239855*alphafold_interface_peptide_plddt - 2.239855*alphafold_ipsae_max - 2.239855*boltz_peptide_plddt + 2.239855*hydrophobic_aa_percent - 0.4627941812016)/(negatively_charged_aa_percent - 4.7009387),27,0.09654924,0.004885056050015809,0.8737166324435318,0.8652792990142387,0.9449030110506571,0.8204081632653061,0.8035714285714286,0.8962339743589742,12
(-alphafold_ipsae_max - alphafold_peptide_plddt - boltz_peptide_plddt + gravy*(boltz_chain_0_ptm - turn_fraction) + 0.11681923)/(intra_boltz_mean_rmsd*(alphafold_interface_peptide_plddt - 0.858706) - 2.1635002817),25,0.09749716,3.943549096743784e-05,0.8726899383983573,0.8646288209606987,0.942313541279443,0.8204081632653061,0.8053097345132744,0.8903579059829061,11
(-alphafold_ipsae_max - alphafold_peptide_plddt - boltz_peptide_plddt + gravy*(boltz_chain_0_ptm - turn_fraction) + 0.11681923)/(intra_boltz_mean_rmsd*(alphafold_interface_peptide_plddt - 0.858706) - 2.1671984),23,0.09750485,0.001097355667366999,0.8747433264887063,0.8665207877461707,0.9423177655368186,0.8163265306122449,0.8,0.8902911324786326,10
(alphafold_ipsae_max + alphafold_peptide_plddt + boltz_peptide_plddt - gravy*(boltz_chain_0_ptm - turn_fraction) - 0.11681923)/(alphafold_peptide_pae*intra_boltz_mean_rmsd + 2.1671984),21,0.09771908,0.0009849932514324295,0.8726899383983573,0.8643326039387309,0.9420727586090365,0.8204081632653061,0.8035714285714286,0.8902243589743589,9
0.461425220690454*alphafold_ipsae_max + 0.461425220690454*alphafold_peptide_plddt + 0.461425220690454*boltz_peptide_plddt - 0.461425220690454*gravy*(boltz_chain_0_ptm - turn_fraction) - 0.053903338983639,17,0.09810485,0.00020596166041350752,0.8706365503080082,0.8627450980392157,0.9421868135581765,0.8285714285714286,0.8157894736842105,0.8902911324786325,8
0.455205647572595*alphafold_ipsae_max + 0.455205647572595*alphafold_peptide_plddt + 0.455205647572595*boltz_peptide_plddt - 0.455205647572595*gravy*(boltz_chain_0_ptm - turn_fraction) - 0.0432072597289168,15,0.09814527,0.007598853422654877,0.8696098562628337,0.8618063112078346,0.9421868135581765,0.8285714285714286,0.8157894736842105,0.8902911324786325,7
0.474118982624108*alphafold_ipsae_max + 0.474118982624108*alphafold_peptide_plddt - 0.474118982624108*boltz_chain_0_ptm + 0.474118982624108*boltz_peptide_plddt + 0.474118982624108*turn_fraction + 0.0630276138274336,13,0.099648245,0.008231172670935717,0.8696098562628337,0.8618063112078346,0.9403450373424352,0.8285714285714286,0.8141592920353983,0.8877537393162394,6
0.459452976205436*alphafold_ipsae_max + 0.459452976205436*alphafold_peptide_plddt + 0.459452976205436*boltz_peptide_plddt + 0.459452976205436*turn_fraction - 0.335778940265278,11,0.101302266,0.006742552272425544,0.8685831622176592,0.8608695652173913,0.9376457368794564,0.8204081632653061,0.8053097345132744,0.8917601495726496,5
0.456581434175248*alphafold_ipsae_max + 0.456581434175248*alphafold_peptide_plddt + 0.456581434175248*boltz_peptide_plddt - 0.456581434175248*helix_fraction,9,0.10267759,0.01666229312134517,0.864476386036961,0.8565217391304348,0.9376161670778278,0.8163265306122449,0.801762114537445,0.8883547008547008,4
alphafold_ipsae_max*turn_fraction + alphafold_peptide_plddt*boltz_peptide_plddt,7,0.10615693,0.014780096646727062,0.8624229979466119,0.8484162895927602,0.9332609577236322,0.8326530612244898,0.8093023255813954,0.882545405982906,3
alphafold_peptide_plddt*(boltz_peptide_plddt + 0.2217148),5,0.10934179,0.027324434219701214,0.8521560574948666,0.8367346938775511,0.92664154641614,0.8285714285714286,0.8090909090909091,0.8762686965811965,2
alphafold_peptide_plddt - boltz_interface_dG,3,0.115483485,0.01085762436223563,0.8542094455852156,0.8453159041394336,0.9211542360852962,0.8122448979591836,0.7909090909090909,0.8678552350427351,1
alphafold_peptide_plddt,1,0.118018664,0.0,0.8531827515400411,0.8486772486772487,0.9186070088878375,0.7918367346938775,0.7792207792207793,0.8665865384615384,0
